age_group,asset_total,debt_total,net_asset,household_income,net_asset_to_income_ratio
39세 이하,31497.76371,9547.8114176,21949.952293,6758.2865522,3.247857592817622
40대,62714.063227,14324.834468,48389.228758,9332.5199391,5.185012094671882
50대,66205.116092,11044.073684,55161.042408,9416.4316632,5.85795600509403
60세 이상,60095.492581,6504.2014114,53591.29117,5767.2082216,9.292414823741552
