metric,year,bottom_20_avg,top_20_avg,top_bottom_ratio,unit,source_table
순자산,2025,1131.9395754,152085.43201,134.35826020682833,만원,통계표12
가구소득,2024,1551.960481,17338.372578,11.171916289278244,만원,통계표12
