구분,지표,가중비율_pct,비가중_가구수
전체,소득상위40_순자산하위40,5.6722961972243535,854
전체,소득하위40_순자산상위40,6.863617879556094,1511
전체,소득상위40_순자산상위40,26.467285411603708,4395
전체,소득하위40_순자산하위40,26.192833052908,5598
